Date,Company,earnings_summary,Source
18-04-2026,ICICI Bank,ICICI Bank maintained strong earnings momentum supported by robust lending growth and improving asset quality across business segments,Moneycontrol
18-04-2026,ICICI Bank,Quarterly results reinforced ICICI Bank's position as a leading private sector lender with consistent profitability and strong balance sheet metrics,Reuters
18-04-2026,HDFC Bank,HDFC Bank reported Q4 FY26 net profit growth of around 9 percent to ₹19221 crore supported by steady loan growth and improved asset quality while maintaining stable margins,Economic Times
18-04-2026,HDFC Bank,HDFC Bank delivered strong quarterly earnings beating estimates driven by robust loan growth and deposit expansion though net interest margin remained relatively moderate,Reuters
18-04-2026,HDFC Bank,The bank reported net interest income growth of about 3.2 percent to ₹33000 crore reflecting steady lending activity and stable core income performance,Moneycontrol
18-04-2026,HDFC Bank,HDFC Bank announced final dividend of ₹13 per share while maintaining strong capital adequacy and balance sheet strength supporting future growth plans,Company Filing
18-04-2026,HDFC Bank,Quarterly performance showed improvement in asset quality with decline in non-performing assets indicating better credit risk management and recovery trends,Analyst Report
18-04-2026,HDFC Bank,HDFC Bank reported strong deposit growth of over 12 percent supporting expansion in loan book and improving funding stability,Reuters
18-04-2026,HDFC Bank,The bank maintained capital adequacy ratio near 19.7 percent indicating strong financial position well above regulatory requirements,Company Presentation
18-04-2026,HDFC Bank,HDFC Bank reported annual profit growth of over 10 percent reflecting strong full-year performance driven by loan growth and improved asset quality,Company Filing
18-04-2026,HDFC Bank,The bank highlighted focus on maintaining loan to deposit ratio stability and improving operational efficiency to support sustainable growth,Company Statement
18-04-2026,HDFC Bank,HDFC Bank noted pressure on margins due to higher funding costs and competitive environment in lending markets,Analyst Commentary
18-04-2026,HDFC Bank,Management emphasized continued growth in retail lending including home loans and personal loans driving overall business expansion,Company Statement
18-04-2026,HDFC Bank,Analysts highlighted strong earnings performance driven by loan growth and improving credit quality despite margin pressures,Analyst Report
18-04-2026,HDFC Bank,HDFC Bank continues to invest in digital banking capabilities to enhance customer experience and improve operational efficiency,Company Statement
18-04-2026,HDFC Bank,The bank maintained strong liquidity position and capital buffers supporting expansion and regulatory compliance requirements,Company Filing
18-04-2026,HDFC Bank,The bank expects continued credit growth driven by domestic demand and improving economic conditions supporting lending activity,Analyst Commentary
18-04-2026,HDFC Bank,HDFC Bank earnings reinforced its leadership position in private banking sector with consistent profitability and strong balance sheet metrics,Moneycontrol
23-04-2026,INFY,INFY reported Q4 FY26 net profit growth of around 21 percent to about ₹8501 crore with revenue rising over 13 percent driven by strong performance in financial services and AI-led solutions,Economic Times
23-04-2026,INFY,INFY delivered strong quarterly earnings with revenue growth supported by enterprise demand though management guided for slower future growth amid macro uncertainty,Reuters
23-04-2026,INFY,The company reported revenue of around ₹46400 crore with steady sequential growth supported by digital services and large deal wins across global markets,Moneycontrol
23-04-2026,INFY,INFY projected FY27 revenue growth between 1.5 percent and 3.5 percent indicating cautious outlook due to weak discretionary spending and global economic slowdown,Reuters
23-04-2026,INFY,The company maintained strong deal pipeline and continued focus on AI and cloud services to drive long-term growth despite near-term demand challenges,Company Statement
23-04-2026,INFY,INFY reported improved operating performance with stable margins supported by cost optimization and operational efficiency initiatives,Analyst Report
23-04-2026,INFY,Management highlighted strong growth in financial services vertical and increasing adoption of AI-driven solutions supporting revenue expansion,Company Filing
23-04-2026,INFY,INFY announced final dividend along with earnings reflecting strong cash generation and commitment to shareholder returns,Company Filing
23-04-2026,INFY,Full year FY26 results showed steady growth in revenue and profitability with strong contribution from digital transformation and AI initiatives,Company Presentation
23-04-2026,INFY,The company highlighted continued investment in AI and automation to improve efficiency and maintain competitive position in global IT services market,Company Statement
23-04-2026,INFY,INFY reported strong operational performance with improved utilization rates and cost control supporting profitability during the quarter,Analyst Commentary
23-04-2026,INFY,Analysts highlighted strong deal pipeline and stable execution capabilities supporting long-term growth outlook despite near-term challenges,Analyst Report
23-04-2026,INFY,INFY emphasized focus on innovation and digital capabilities to drive future growth and enhance client engagement across industries,Company Statement
23-04-2026,INFY,The company maintained strong balance sheet and cash flows supporting continued investments in technology and workforce development,Company Filing
23-04-2026,INFY,The company expects gradual improvement in demand environment supported by digital adoption and enterprise transformation initiatives,Analyst Commentary
23-04-2026,INFY,INFY earnings reinforced its position as a leading IT services company with consistent profitability and strong execution capabilities,Moneycontrol
24-04-2026,RELIANCE Industries,Reliance Industries reported mixed Q4 FY26 results with revenue growing around 13 percent year-on-year but net profit declining due to pressure in oil-to-chemicals segment and higher input costs,Economic Times
24-04-2026,RELIANCE Industries,Reliance posted decline in quarterly profit despite strong top-line growth  with O2C business facing margin pressure while telecom and retail segments continued to support overall performance,Reuters
24-04-2026,RELIANCE Industries,Reliance Industries revenue increased to nearly Rs 2.98 lakh crore in Q4 while profitability declined due to weaker refining margins and higher crude costs affecting core energy business,Moneycontrol
24-04-2026,RELIANCE Industries,Reliance Jio reported strong growth in profit and revenue during the quarter with rising subscriber base and improved ARPU  supporting consolidated earnings performance,Company Filing
24-04-2026,RELIANCE Industries,Reliance Retail delivered steady growth in revenue though margins remained under pressure due to expansion and competitive environment impacting profitability,Analyst Report
24-04-2026,RELIANCE Industries,The company reported EBITDA stability but profit contraction reflecting divergence between revenue growth and margin performance across business segments,Reuters
24-04-2026,RELIANCE Industries,Reliance highlighted global macro challenges including energy price volatility and geopolitical disruptions impacting earnings during the quarter,Company Statement
24-04-2026,RELIANCE Industries,Reliance became first Indian company to cross 10 billion dollar annual profit driven by diversified operations across energy telecom and retail segments,Economic Times
24-04-2026,RELIANCE Industries,Annual results showed strong growth in revenue and EBITDA despite quarterly profitability pressures indicating long-term resilience of business model,Company Filing
24-04-2026,RELIANCE Industries,Reliance reported strong full year performance with gross revenue exceeding Rs 11 lakh crore and continued investment in growth segments,Company Presentation
24-04-2026,RELIANCE Industries,The company indicated future growth driven by telecom expansion retail scale and energy transition investments despite near term margin pressures,Analyst Report
24-04-2026,RELIANCE Industries,Management commentary emphasized resilience of domestic demand and diversification helping navigate global uncertainty and volatility,Company Statement
24-04-2026,RELIANCE Industries,Reliance noted that refining margins were impacted by higher crude premiums and logistics costs affecting profitability in core segment,Reuters
24-04-2026,RELIANCE Industries,Telecom business remained key growth driver with subscriber additions and improving monetization contributing positively to earnings,Company Filing
24-04-2026,RELIANCE Industries,Retail segment showed steady expansion with focus on scale and digital integration though margins remained moderate,Analyst Report
24-04-2026,RELIANCE Industries,The company expects improvement in margins as global energy markets stabilize and operational efficiencies improve over coming quarters,Analyst Commentary
24-04-2026,RELIANCE Industries,Analysts expect gradual recovery in earnings driven by normalization of refining margins and continued strength in digital and retail businesses,Analyst Report
24-04-2026,RELIANCE Industries,The company continues to invest in renewable energy and new growth areas aiming to diversify revenue streams and reduce dependence on traditional segments,Company Statement
